index,artist_name,track_name,track_id,track_popularity,artist_id
182,Marcus Santoro,Hijack,3U6shfzF85HjpQO7TPuOZ9,2,0cIOMm0D5wSyXMTcvnElUz
183,MEDUZA,Piece Of Your Heart - Marcus Santoro Remix,08CdDaYENNuLNU8axILWrw,15,0xRXCcSX89eobfrshSVdyu
184,Marcus Santoro,Shine,0Lx8XfAnvKKA6Vj5td5FJH,12,0cIOMm0D5wSyXMTcvnElUz
185,Marcus Santoro,Goodbye,2aC9mM0TYKL9gHAv4OZmGS,19,0cIOMm0D5wSyXMTcvnElUz
186,Marcus Santoro,Nova Scotia,2XvpbqtNXf0e05PqpdJ2cy,3,0cIOMm0D5wSyXMTcvnElUz
187,Marc Benjamin,Losing Focus - Palane Remix,7lc63HSDxWYtTBPE5iKlBi,19,05KjvP5zdwtEIgEazqblZw
188,Marcus Santoro,Give It All,1Ei8ZFX96vBZa1TGcATfkG,14,0cIOMm0D5wSyXMTcvnElUz
189,Marcus Santoro,Whispers (GDJB Mar 15 2018),1uyXoFrcpzyg0TQwJWG6cH,0,0cIOMm0D5wSyXMTcvnElUz
190,Marc Benjamin,Losing Focus - Extended Mix,35ZdRZ4Wfu9FHZqA2OG9qi,15,05KjvP5zdwtEIgEazqblZw
191,Sunset Child,Silence - Marcus Santoro Remix,1yx4N8RKpVMAWSPJV5XGT5,9,1zV4Mrbt6dvfvXFgxYn4Na
192,Marcus Santoro,It's Not About You,5rVsnjIV8dJfnndcI8PMH8,5,0cIOMm0D5wSyXMTcvnElUz
193,MITS,You & I (feat. Courtney Brianna) [Jordan Burns Remix],0LOWmmDaryTb7yRstm1uQ9,14,0wLEGuZ9XapTanCJdXFeQJ
194,Marcus Santoro,Savitar,3CHpnPoXjXCFtLwFCnqefL,0,0cIOMm0D5wSyXMTcvnElUz
195,Tritonal,Hung Up - Marcus Santoro Remix,7xjwbFpL8wuBk9KOzYkjYV,6,521qvhdobR0GzhvU6TFw76
196,Thomas Gold,Magic - Marcus Santoro Remix,35p4qQ2Ik2FBXxn9pEyGZC,8,1XLjkBxFokuDTlHt0mQkRe
197,Marcus Santoro,There Is Only You,2D8dlF8NyhwFDTOd52S4UQ,1,0cIOMm0D5wSyXMTcvnElUz
198,Jack Wins,Animals - Marcus Santoro Remix,7q4aW1kX75JA3Oaw0Mhnia,12,5v8ZROs9c26k4yGMxUkebt
